一,1,1,,,,
七,1,1,,,,
万,,,,1,13,
三,1,1,,,,
上,1,5,,1,2,
下,1,5,,,,
不,1,2,,1,,
且,2,4,1,,,
世,2,3,4,,,
业,2,1,1,,,
东,1,7,,1,4,
两,1,3,,,,
个,1,3,,,,
中,1,2,,1,,
丰,,,,2,3,2
为,1,6,,1,4,
主,2,6,3,,,
久,2,8,3,,,
么,1,1,,,,
之,2,1,3,,,
乐,1,11,,1,10,
九,1,1,,,,
也,1,2,,1,,
习,,,,2,5,2
书,1,5,,1,4,
买,1,8,,1,4,
了,1,6,,,,
事,,,,1,5,
二,1,1,,,,
于,2,3,3,,,
云,,,,1,7,
五,1,1,,,,
亚,,,,2,5,1
些,1,13,,,,
交,2,4,1,,,
产,2,4,4,,,
京,1,7,,1,2,
亲,,,,1,12,
人,1,2,,1,,
亿,,,,1,13,
什,1,1,,,,
今,1,7,,,,
介,,,,2,1,1
从,1,9,,1,7,
他,1,1,,,,
代,,,,2,2,1
以,1,5,,1,4,
们,1,1,,,,
件,,,,1,10,
件,2,1,2,,,
价,,,,2,5,2
休,,,,1,12,
会,1,8,,1,7,
传,,,,2,3,1
但,,,,1,13,
位,2,5,3,,,
低,2,3,1,,,
住,1,2,,1,,
体,,,,1,12,
作,1,5,,,,
你,1,1,,,,
使,,,,2,3,4
例,,,,2,2,3
便,2,1,2,,,
保,2,7,4,,,
信,2,1,4,1,8,
修,,,,2,7,1
倍,2,7,1,,,
候,1,7,,1,5,
借,2,7,3,,,
值,2,7,2,,,
假,2,5,1,,,
做,1,5,,,,
像,2,6,3,,,
儿,1,2,,1,,
元,1,14,,,,
先,1,14,,1,3,
免,2,8,3,,,
党,2,8,2,,,
入,2,4,4,,,
全,2,4,2,,,
八,1,1,,,,
公,2,2,1,,,
六,1,1,,,,
共,2,7,3,,,
关,2,2,3,,,
兴,2,5,4,1,10,
其,2,6,1,,,
典,2,6,1,,,
内,2,8,2,,,
再,1,14,,1,7,
写,,,,1,6,
农,,,,2,3,2
冬,1,12,,1,7,
决,,,,2,3,2
况,,,,2,2,2
冷,,,,1,7,
净,2,8,1,,,
准,,,,2,7,3
几,1,4,,1,3,
出,,,,1,5,
分,1,9,,1,5,
切,2,3,4,,,
刚,2,7,2,,,
别,2,2,3,,,
到,1,9,,1,7,
制,,,,2,8,3
刻,,,,1,5,
前,1,12,,1,9,
办,2,2,2,,,
功,2,7,3,,,
加,2,5,2,,,
务,2,8,2,,,
动,2,1,2,,,
助,2,7,1,,,
包,1,11,,1,4,
化,2,3,1,,,
北,1,7,,1,2,
区,2,4,4,,,
医,2,5,3,1,12,
十,1,1,,,,
千,1,14,,1,4,
午,1,5,,,,
半,1,5,,,,
华,2,8,4,,,
单,2,6,2,,,
卖,2,1,2,,,
南,1,13,,1,7,
占,2,8,2,,,
卫,2,8,1,,,
危,2,7,4,,,
却,2,8,3,,,
厂,2,7,2,,,
历,,,,2,5,4
原,2,3,1,,,
去,1,5,,,,
参,2,7,1,,,
又,,,,1,11,
友,1,6,,,,
双,2,7,1,,,
反,2,5,4,,,
发,,,,1,8,
取,2,7,4,,,
受,,,,2,5,4
变,2,3,1,,,
口,1,3,,,,
古,1,13,,,,
另,2,6,3,,,
只,1,12,,,,
叫,1,13,,1,1,
可,1,7,,1,4,
台,2,8,2,,,
史,,,,2,5,4
右,1,14,,1,7,
号,,,,1,7,
吃,1,11,,1,5,
各,2,6,1,,,
合,2,8,2,,,
同,,,,1,6,
名,1,12,,1,1,
后,1,12,,1,5,
向,2,7,1,,,
吗,1,2,,1,,
吧,1,8,,1,4,
听,1,7,,1,2,
告,2,4,1,,,
员,2,7,1,,,
呢,1,6,,1,1,
周,2,2,1,,,
和,1,4,,1,3,
品,2,4,4,,,
响,,,,2,5,4
哥,2,2,2,,,
哪,1,4,,1,2,
商,,,,1,9,
喜,1,10,,1,2,
喝,1,14,,1,11,
四,1,1,,,,
回,1,8,,,,
因,1,6,,1,4,
园,2,1,2,1,13,
国,1,2,,1,,
图,2,1,2,1,13,
在,1,2,,1,,
地,1,9,,1,7,
场,,,,1,13,
坏,2,2,2,,,
坐,,,,1,8,
块,1,8,,1,4,
城,1,13,,1,9,
堂,2,8,1,,,
境,2,3,4,,,
声,2,6,1,,,
处,2,2,2,,,
备,,,,2,7,3
夏,,,,1,7,
外,1,9,,,,
多,1,7,,1,1,
夜,,,,2,3,1
够,2,5,2,,,
大,1,3,,1,1,
天,1,7,,1,5,
太,,,,1,3,
失,2,8,2,,,
头,1,12,,1,3,
奇,2,5,1,,,
女,1,10,,,,
她,1,1,,,,
好,1,1,,,,
如,2,2,4,,,
妹,2,2,1,,,
始,2,3,3,,,
姐,2,2,1,,,
姓,1,12,,1,1,
婚,2,2,4,,,
子,1,3,,,,
字,1,14,,1,6,
学,1,5,,1,3,
孩,2,1,4,1,3,
安,,,,1,7,
完,1,5,,,,
定,2,1,4,1,13,
实,2,6,1,,,
客,,,,2,5,2
室,,,,2,4,3
家,1,3,,,,
容,2,4,1,,,
富,,,,2,3,2
对,1,6,,,,
将,2,4,3,,,
小,1,3,,,,
少,1,7,,,,
就,1,13,,1,10,
层,,,,2,4,3
展,,,,2,3,3
山,1,13,,,,
岁,1,3,,1,1,
岛,,,,2,8,1
州,2,7,3,,,
工,1,13,,,,
左,1,14,,1,7,
差,2,2,3,,,
己,2,8,4,1,10,
市,1,13,,1,9,
师,,,,1,6,
希,2,4,3,,,
帝,,,,2,7,3
带,,,,1,12,
帮,2,7,1,,,
常,1,12,,1,7,
干,2,8,1,,,
平,2,3,1,,,
年,1,8,,,,
并,2,8,2,,,
广,2,4,1,1,13,
床,,,,1,9,
应,,,,1,12,
店,1,14,,1,9,
度,2,4,3,,,
庭,,,,2,2,1
建,,,,2,7,1
开,1,10,,,,
式,2,4,2,,,
弟,2,2,2,,,
张,1,14,,1,9,
当,2,6,3,,,
录,,,,2,6,1
影,2,4,2,1,9,
往,2,7,4,1,14,
很,1,4,,1,3,
得,1,8,,1,6,
心,1,10,,,,
忘,2,6,1,,,
忙,,,,1,6,
快,1,14,,1,12,
怎,1,7,,1,6,
怕,2,3,1,,,
思,2,1,2,1,6,
性,2,6,2,,,
怪,2,5,1,,,
总,2,2,3,,,
息,,,,1,12,
您,,,,1,14,
情,,,,2,2,2
惯,,,,2,5,2
想,1,8,,1,4,
意,,,,1,6,
意,2,1,2,,,
感,2,5,1,,,
愿,2,8,4,,,
慢,,,,1,14,
懂,,,,1,14,
成,2,4,4,,,
我,1,1,,,,
或,,,,1,13,
房,,,,1,9,
所,,,,1,11,
手,1,10,,1,4,
才,2,4,3,,,
