阿,,,,,,,,,,,
啊,,805,505,,,,630,,,,
癌,,,,,,,,,,,
矮,,,,,,,,,,,
爱,愛,805,505,355,405,255,630,250,,,
碍,,,,,,,,,,,
安,,805,505,,405,,630,,70,,
岸,,,,,,,,,,,
按,,805,,,,,,,,,
案,,,,,,,,,,,
暗,,,,,,,,,,,
奥,,,,,,,,,,,
澳,,,,,,,,,,,
八,,805,505,355,405,255,630,250,,,
巴,,,,,,,,,,,
把,,805,505,355,405,,,,,,
爸,,805,505,355,405,255,630,250,,,
罢,罷,,,,,,,,,,
吧,,805,505,355,405,255,630,250,,,
白,,805,505,355,405,255,630,250,,,
百,,805,505,355,405,255,630,250,,,
摆,擺,,,,,,,,,,
败,敗,,,,,,,,,,
拜,,805,,,,,,,,,
班,,805,505,355,405,,630,250,,,
般,,805,,,,,630,,,,
搬,,,,,,,,,,,
板,,805,,,,,,,,,
版,,,,,,,,,,,
办,辦,805,505,355,405,255,630,,,,
半,,805,505,355,405,255,630,250,,,
伴,,,,,,,,,,,
帮,幫,805,505,,,,630,,,,
包,,805,505,355,405,,630,,70,,
胞,,,,,,,,,,,
薄,飽,,,,,,,,,,
饱,飽,,,,,,,,,,
宝,寶,,,,,,,,,,
保,,805,,,,,,,,,
报,報,805,505,355,405,,630,,,,
抱,,805,,,,,630,,,,
暴,,,,,,,,,,,
爆,,,,,,,,,,,
杯,,805,505,355,405,255,630,250,,,
背,,805,,,,,,,,,
北,,805,505,355,405,255,630,250,,,
备,備,805,505,,,,630,,,,
倍,,,,,,,,,,,
被,,805,505,,,,630,,,,
贝,貝,,,,,,,,,,
本,,805,505,355,405,255,630,250,,,
鼻,,,,,,,,,,,
比,,805,505,355,405,255,630,250,,,
彼,,,,,,,,,,,
笔,筆,805,505,355,405,255,630,,,,
币,幣,,,,,,,250,,,
必,,805,,,,,,,,,
毕,畢,,,,,,630,,,,
闭,閉,,,,,,,,,,
避,,,,,,,,,,,
壁,,,,,,,,,,,
边,邊,805,505,355,405,255,630,250,,,
编,,,,,,,,,,,
变,變,805,505,,405,,630,,,,
便,,805,505,,,,630,,,,
遍,,805,,,,,,,,,
辩,辯,,,,,,,,,,
标,標,805,,,,,,,,,
表,,805,505,,,,630,,,,
别,,805,505,355,405,255,630,250,,,
宾,,,,,,,,,,,
冰,,,,,,,,,,,
兵,,,,,,,,,,,
饼,餅,,,,,,,,,,
并,,805,505,,,,,,,,
病,,805,505,355,405,255,630,250,,,
波,,,,,,,,,,,
播,,,,,,,,,,,
伯,,,,,,,,,,,
博,,,,,,,630,,,,
补,,805,,,,,,,,,
捕,,,,,,,,,,,
不,,805,505,355,405,255,630,250,,,
布,,,,,,,,,,,
步,,805,,,,,630,,,,
部,,805,505,,405,,630,,70,,
擦,,,,,,,,,,,
才,,805,505,355,405,,630,,,,
材,,,,,,,,,,,
财,財,805,,,,,,,,,
裁,,,,,,,,,,,
采,,,,,,,,,,,
彩,,805,,,,,,,,,
菜,,805,505,355,405,255,630,250,,,
参,,805,,,,,630,,,,
餐,,,,,,,630,,,,
残,,,,,,,,,,,
藏,,,,,,,,,,,
操,,,,,,,,,,,
草,,805,,,,,,,,,
册,,,,,,,,,,,
厕,廁,,,,,,,,,,
侧,側,,,,,,,,,,
