阿,,,,
啊,,,,
癌,,,,
矮,,,,
爱,1,7,,
碍,,,,
安,1,20,*,
岸,,,,
按,2,25+,,
案,,,,
暗,,,,
奥,,,,
澳,,,,
八,1,0,,
巴,1,13,*,
把,1,,,
爸,1,13,,
罢,2,31,,
吧,1,13,,
白,1,0,,
百,1,6,,
摆,2,34,,
败,,,,
拜,2,28+,,
班,1,18,,
般,2,33,,
搬,2,33,,
板,2,31,,
版,2,31,,
办,2,23,,
半,1,14,,
伴,,,,
帮,2,29,,
包,1,17,,
胞,,,,
薄,,,,
饱,1,17,,
宝,2,26+,,
保,2,35,,
报,1,0,,
抱,2,34,,
暴,,,,
爆,,,,
杯,1,13,,
背,2,35,,
北,1,0,,
备,2,31,,
倍,2,39,,
被,2,32,,
贝,2,26+,,
本,1,1,,
鼻,2,22+,,
比,2,21,,
彼,,,,
笔,1,12,,
币,2,29,,
必,2,35,,
毕,2,28,,
闭,,,,
避,,,,
壁,,,,
边,1,8,,
编,,,,
变,2,30,,
便,2,27,,
遍,2,33,,
辩,,,,
标,,,,
表,1,14,,
别,1,12,,
宾,,,,
冰,2,21,,
兵,,,,
饼,2,40,,
并,2,36,,
病,2,27,,
波,,,,
播,2,39,,
伯,,,,
博,,,,
补,2,28,,
捕,,,,
不,1,1,,
布,2,23,,
步,,,,
部,2,34,,
擦,2,37,,
才,2,21,,
材,2,27,,
财,,,,
裁,,,,
采,2,31,,
彩,2,31,,
菜,2,31,,
参,2,32,,
餐,,,,
残,,,,
藏,,,,
操,2,36,,
草,2,22+,,
册,,,,
厕,,,,
侧,,,,
测,,,,
策,,,,
层,,,,
曾,2,25,,
叉,2,38,,
插,,,,
茶,1,0,,
查,1,18,,
察,2,37,,
差,2,22,,
柴,,,,
产,2,31,,
长,1,14,,
常,1,5,,
厂,1,1,*,
场,2,29,,
唱,1,19,,
超,2,29,,
朝,2,32+,,
潮,,,,
吵,2,26,,
炒,2,26,,
车,1,0,,
彻,,,,
沉,,,,
晨,2,25+,,
衬,,,,
称,,,,
成,2,21,,
诚,,,,
承,2,35+,,
城,2,21,,
乘,,,,
程,2,34,,
吃,1,0,,
池,2,36,,
迟,2,28,,
持,,,,
尺,2,28,,
冲,,,,
充,,,,
虫,,,,
重,1,0,,
抽,1,19,,
绸,,,,
出,2,22,,
初,2,28,,
除,2,35,,
厨,1,17,*,
础,2,40,,
楚,,,,
处,2,31,,
触,,,,
纯,,,,
川,,,,
穿,1,17,,
传,2,30,,
船,2,24,,
创,,,,
窗,2,23+,,
床,1,8,,
吹,2,25,,
春,2,22,,
纯,,,,
词,1,18,,
此,2,22,,
次,1,18,,
刺,,,,
聪,2,29,,
从,1,16,,
粗,2,37,,
促,,,,
醋,,,,
村,2,21,,
存,2,29,,
寸,,,,
措,,,,
错,2,21,,
打,1,19,,
达,2,34+,,
答,1,16,*,
大,1,0,,
呆,2,24+,,
代,1,19,*,
带,2,22,,
待,2,36,,
袋,2,39,,
戴,2,39+,,
旦,2,28,,
担,2,28,,
单,2,32,,
但,2,21,,
蛋,2,33,,
当,1,19,,
党,2,31,,
刀,1,5,*,
导,2,32,,
岛,,,,
倒,2,24,,
到,1,16,,
道,2,23,,
得,1,13,,
德,,,,
地,1,8,,
的,1,2,,
灯,2,27,,
登,,,,
等,1,8,,
低,2,28,,
敌,,,,
抵,,,,
底,2,28,,
弟,1,16,*,
帝,2,40,,
第,1,16,,
典,1,18,*,
点,1,14,,
电,1,9,,
店,1,12,*,
殿,,,,
调,,,,
掉,2,33,,
丁,2,27,,
顶,2,35,,
订,2,27,,
定,1,9,,
丢,2,23,,
东,1,14,,
冬,2,21,,
懂,1,16,,
动,2,33,,
都,1,15,,
斗,,,,
豆,1,17,*,
督,,,,
毒,,,,
独,,,,
读,2,24+,,
肚,2,27,,
度,2,22,,
端,,,,
短,2,24,,
段,2,26,,
锻,2,26+,,
断,2,33+,,
堆,,,,
队,2,26,,
对,1,4,,
兑,2,29,,
吨,,,,
盾,,,,
顿,2,29+,,
多,1,3,,
夺,,,,
朵,2,29,,
俄,1,5,,
额,,,,
恶,,,,
饿,,,,
恩,,,,
儿,1,4,*,
而,2,23,,
耳,2,29,,
尔,,,,
二,1,0,,
发,2,22,,
乏,,,,
罚,,,,
法,1,2,*,
翻,2,35,,
凡,,,,
烦,2,39+,,
繁,,,,
反,1,11,,
返,,,,
犯,,,,
饭,1,11,,
泛,,,,
范,,,,
方,1,11,,
防,,,,
房,1,11,*,
访,2,32,,
纺,,,,
放,2,24,,
飞,1,20,,
非,1,12,*,
啡,2,24+,,
肥,2,24,,
废,,,,
"费 ",,,,
"分 ",1,12,,
纷,,,,
氛,,,,
粉,,,,
份,,,,
奋,,,,
丰,2,31+,,
风,1,9,,
封,1,19,,
佛,,,,
否,,,,
夫,1,3,*,
服,1,12,*,
浮,,,,
符,,,,
幅,2,39+,,
福,2,34,,
府,2,31,,
辅,,,,
腐,,,,
父,1,13,*,
付,2,23,,
负,2,39,,
妇,,,,
附,2,23,,
复,1,18,*,
副,,,,
傅,,,,
富,2,31,,
该,1,18,,
改,2,30,,
盖,2,33,,
概,2,28,,
干,1,13,,
杆,,,,
肝,,,,
赶,2,39,,
敢,2,37,,
感,2,34,,
刚,2,25,,
钢,2,25,,
岗,,,,
港,,,,
高,1,12,,
搞,2,29,,
稿,,,,
告,2,21,,
哥,1,3,,
割,,,,
歌,1,19,*,
革,2,30,,
格,2,28,,
隔,,,,
个,1,6,,
各,1,16,,
给,1,8,,
根,2,37,,
跟,,,,
更,2,21,,
工,1,1,*,
公,1,14,*,
功,1,19,*,
攻,,,,
供,,,,
宫,2,40,,
巩,,,,
共,1,12,*,
贡,,,,
狗,2,23,,
构,,,,
购,,,,
够,2,23,,
估,,,,
姑,1,19,,
古,1,19,*,
谷,,,,
股,,,,
骨,2,22,,
鼓,,,,
固,2,39,,
故,1,19,*,
顾,2,38,,
雇,,,,
瓜,2,22,,
刮,2,24,,
挂,2,27,,
拐,,,,
怪,1,16,,
"关 ",1,14,,
官,1,19,,
"观 ",2,32,,
冠,,,,
馆,1,19,*,
管,2,33,,
惯,2,40,,
光,2,35,,
广,1,16,,
逛,,,,
"归 ",,,,
规,2,38,,
鬼,,,,
贵,1,4,,
滚,,,,
国,1,1,*,
果,1,15,*,
过,1,16,,
哈,,,,
还,1,4,,
孩,1,18,*,
海,1,19,,
害,2,36,,
含,,,,
函,,,,
寒,2,28,,
喊,2,34,,
汉,1,4,*,
汗,2,37,,
航,,,,
号,1,9,,
毫,,,,
"好 ",1,1,,
喝,2,28,,
合,1,13,*,
何,2,38,,
和,1,2,,
河,1,14,,
荷,,,,
核,,,,
贺,,,,
黑,1,10,,
很,1,3,,
恨,,,,
横,,,,
红,1,12,,
洪,,,,
后,1,8,*,
厚,,,,
候,1,18,*,
乎,,,,
呼,,,,
忽,2,34,,
胡,2,24,,
壶,,,,
湖,2,24,,
虎,2,37,,
互,2,35,,
户,2,35,,
护,2,34,,
花,1,7,,
划,2,34,,
华,2,34,,
滑,2,22,,
化,1,7,*,
画,1,4,,
话,1,13,,
怀,,,,
坏,2,23,,
欢,2,33,,
环,,,,
换,2,24,,
皇,,40,,
黄,1,14,,
灰,,,,
挥,,,,
恢,,,,
辉,,,,
回,1,16,,
毁,,,,
"汇 ",,,,
会,1,2,,
婚,2,34,,
混,,,,
活,2,31,,
火,1,0,,
伙,,,,
或,1,15,*,
货,,,,
获,,,,
击,,,,
机,1,20,*,
鸡,2,33,,
积,,,,
基,2,40,,
激,,,,
及,1,17,*,
吉,2,33,,
级,1,18,,
极,1,17,*,
即,,,,
急,2,37,,
集,2,34,,
籍,,,,
几,1,6,,
己,1,8,*,
